,NAME,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,TOTAL_POP,HOUSING_UNITS,POP_UNDER_5,POP_5_9,POP_10_14,POP_15_19,state,county
444,"Dunn County, North Dakota",84.4,1.6,4387,0.9,4387,2530,302,259,298,301,38,025
445,"Emmons County, North Dakota",96.1,0.0,3352,1.0,3352,2195,181,192,174,159,38,029
446,"McIntosh County, North Dakota",96.3,0.9,2654,1.0,2654,1859,130,125,139,104,38,051
447,"Nelson County, North Dakota",97.4,0.1,2920,0.0,2920,1908,151,154,137,105,38,063
448,"Richland County, North Dakota",93.2,0.7,16288,0.3,16288,7712,907,982,986,1527,38,077
449,"Rolette County, North Dakota",18.6,0.6,14603,0.2,14603,5573,1425,1481,1356,1089,38,079
450,"Walsh County, North Dakota",93.6,0.4,10802,0.7,10802,5595,723,744,603,585,38,099
451,"Adams County, North Dakota",93.1,2.1,2351,3.3,2351,1432,94,134,182,136,38,001
452,"Bottineau County, North Dakota",93.2,0.9,6589,0.2,6589,4451,364,359,430,357,38,009
453,"Barnes County, North Dakota",94.5,2.4,10836,0.5,10836,5884,536,501,676,722,38,003
454,"Eddy County, North Dakota",88.1,0.0,2313,0.0,2313,1331,183,119,105,110,38,027
455,"Grand Forks County, North Dakota",86.6,4.0,70400,2.7,70400,32634,4789,3897,3893,5571,38,035
456,"McKenzie County, North Dakota",83.0,0.6,12536,0.7,12536,5976,1221,1297,712,811,38,053
457,"Mercer County, North Dakota",94.4,0.9,8570,0.5,8570,4732,567,445,611,464,38,057
458,"McLean County, North Dakota",90.4,0.7,9608,0.1,9608,6135,553,630,561,502,38,055
459,"Pierce County, North Dakota",94.7,0.8,4210,0.8,4210,2310,283,354,140,171,38,069
460,"Ransom County, North Dakota",96.1,0.7,5361,0.8,5361,2691,287,327,327,327,38,073
461,"Sioux County, North Dakota",13.1,0.1,4413,0.0,4413,1353,432,430,477,390,38,085
462,"Bowman County, North Dakota",96.4,0.0,3195,0.0,3195,1769,211,283,170,162,38,011
463,"Golden Valley County, North Dakota",97.0,0.0,1882,0.0,1882,1049,110,93,126,132,38,033
464,"Logan County, North Dakota",98.7,0.1,1927,0.1,1927,1200,127,94,75,93,38,047
465,"Towner County, North Dakota",91.5,0.0,2246,0.5,2246,1386,104,147,165,108,38,095
466,"Stutsman County, North Dakota",93.1,1.2,21064,0.6,21064,10220,1202,1252,1094,1404,38,093
467,"Divide County, North Dakota",92.5,1.1,2369,2.5,2369,1616,116,161,40,94,38,023
468,"Foster County, North Dakota",96.8,0.2,3290,0.0,3290,1831,190,166,245,173,38,031
469,"Sargent County, North Dakota",95.3,2.4,3883,0.2,3883,2108,196,218,217,206,38,081
470,"Slope County, North Dakota",93.6,5.5,704,0.0,704,465,49,57,26,22,38,087
471,"Stark County, North Dakota",91.7,2.2,30876,1.4,30876,14422,2484,2042,2143,1707,38,089
472,"Gallia County, Ohio",94.4,2.4,30195,0.7,30195,13892,1881,1949,1912,1897,39,053
473,"Huron County, Ohio",94.6,1.4,58457,0.2,58457,25247,3651,4109,3993,3919,39,077
474,"Athens County, Ohio",90.6,2.9,65936,2.7,65936,26610,2640,2480,2899,9296,39,009
475,"Adams County, Ohio",97.2,0.4,27878,0.1,27878,12920,1686,1981,1955,1807,39,001
